playerId,playerName
101106,"Andrew Bogut"
101107,"Marvin Williams"
101108,"Chris Paul"
101109,"Raymond Felton"
101110,"Martell Webster"
101111,"Charlie Villanueva"
101112,"Channing Frye"
101113,"Ike Diogu"
101114,"Deron Williams"
101115,"Andrew Bynum"
101121,"Joey Graham"
101122,"Danny Granger"
101123,"Gerald Green"
101124,"Hakim Warrick"
101126,"Nate Robinson"
101127,"Jarrett Jack"
101128,"Francisco Garcia"
101130,"Johan Petro"
101131,"Jason Maxiell"
101132,"Linas Kleiza"
101133,"Ian Mahinmi"
101135,"David Lee"
101138,"Brandon Bass"
101139,"CJ Miles"
101141,"Ersan Ilyasova"
101142,"Ronny Turiaf"
101144,"Von Wafer"
101145,"Monta Ellis"
101146,"Roko Ukic"
101150,"Lou Williams"
101153,"Mickael Gelabale"
101154,"Andray Blatche"
101155,"Ryan Gomes"
101161,"Amir Johnson"
101162,"Marcin Gortat"
101179,"Ronnie Price"
101181,"Jose Calderon"
101183,"Shavlik Randolph"
101187,"Alan Anderson"
101189,"James Singleton"
101198,"Will Bynum"
101204,"Dwayne Jones"
101215,"Will Conroy"
101235,"Kelenna Azubuike"
101236,"Chuck Hayes"
101249,"John Lucas III"
1112,"Ben Wallace"
1495,"Tim Duncan"
1497,"Chauncey Billups"
1499,"Tony Battie"
1503,"Tracy McGrady"
1515,"Anthony Parker"
1536,"Stephen Jackson"
1626143,"Jahlil Okafor"
1626144,"Emmanuel Mudiay"
1626145,"Tyus Jones"
1626146,"Cliff Alexander"
1626147,"Justin Anderson"
1626148,"Anthony Brown"
1626149,"Montrezl Harrell"
1626150,"Andrew Harrison"
1626151,"Aaron Harrison"
1626153,"Delon Wright"
1626154,"RJ Hunter"
1626155,"Sam Dekker"
1626156,"DAngelo Russell"
1626157,"Karl-Anthony Towns"
1626158,"Richaun Holmes"
1626159,"Justise Winslow"
1626161,"Willie Cauley-Stein"
1626162,"Kelly Oubre Jr."
1626163,"Frank Kaminsky"
1626164,"Devin Booker"
1626166,"Cameron Payne"
1626167,"Myles Turner"
1626168,"Trey Lyles"
1626169,"Stanley Johnson"
1626170,"Jerian Grant"
1626171,"Bobby Portis"
1626172,"Kevon Looney"
1626173,"Rashad Vaughn"
1626174,"Christian Wood"
1626175,"Jordan Mickey"
1626176,"Rakeem Christmas"
1626177,"Dakari Johnson"
1626178,"Rondae Hollis-Jefferson"
1626179,"Terry Rozier"
1626181,"Norman Powell"
1626183,"Branden Dawson"
1626184,"Chasson Randle"
1626185,"Jarell Martin"
1626187,"Michael Frazier"
1626188,"Quinn Cook"
1626191,"Chris McCullough"
1626192,"Pat Connaughton"
1626195,"Willy Hernangomez"
1626196,"Josh Richardson"
1626199,"Darrun Hilliard"
1626202,"Joe Young"
1626203,"Treveon Graham"
1626204,"Larry Nance Jr."
1626205,"Vincent Hunter"
1626209,"Mario Hezonja"
1626210,"Alan Williams"
1626214,"Bryce Dejean-Jones"
1626220,"Royce ONeale"
1626224,"Cedi Osman"
1626242,"Luis Montero"
1626245,"Cristiano Felicio"
1626246,"Boban Marjanovic"
1626251,"Duje Dukan"
1626253,"Axel Toupane"
1626254,"Maurice Ndour"
1626257,"Salah Mejri"
1626259,"Malcolm Miller"
1626262,"Coty Clarke"
1626266,"JJ OBrien"
1626273,"Marcelo Huertas"
1626296,"Jordan Sibert"
1626643,"Jacob Pullen"
1626780,"Jonathan Gibson"
1627098,"Malcolm Delaney"
1627215,"Walter Lemon Jr."
1627293,"Alex Stepheson"
1627362,"Briante Weber"
1627395,"Julian Washburn"
1627732,"Ben Simmons"
1627733,"Dragan Bender"
1627734,"Domantas Sabonis"
1627735,"Wade Baldwin IV"
1627736,"Malik Beasley"
1627737,"Marquese Chriss"
1627738,"Deyonta Davis"
1627739,"Kris Dunn"
1627740,"Henry Ellenson"
1627741,"Buddy Hield"
1627742,"Brandon Ingram"
1627743,"Demetrius Jackson"
1627744,"Brice Johnson"
1627745,"Damian Jones"
1627746,"Skal Labissiere"
1627747,"Caris LeVert"
1627748,"Thon Maker"
1627749,"Dejounte Murray"
1627750,"Jamal Murray"
1627751,"Jakob Poeltl"
1627752,"Taurean Prince"
1627753,"Zhou Qi"
1627754,"Diamond Stone"
1627755,"Tyler Ulis"
1627756,"Denzel Valentine"
1627757,"Stephen Zimmerman"
1627758,"Ron Baker"
1627759,"Jaylen Brown"
1627761,"DeAndre Bembry"
1627762,"Joel Bolomboy"
1627763,"Malcolm Brogdon"
1627767,"Cheick Diallo"
1627770,"Kay Felder"
1627771,"Michael Gbinije"
1627772,"Daniel Hamilton"
1627773,"AJ Hammons"
1627774,"Jake Layman"
1627775,"Patrick McCaw"
1627777,"Georges Niang"
1627778,"Chinanu Onuaku"
1627779,"Marcus Paige"
1627780,"Gary Payton II"
1627781,"Malachi Richardson"
1627782,"Wayne Selden"
1627783,"Pascal Siakam"
1627784,"Jarrod Uthoff"
1627785,"Isaiah Whitehead"
1627786,"Troy Williams"
1627787,"Kyle Wiltjer"
1627788,"Furkan Korkmaz"
1627789,"Timothe Luwawu-Cabarrot"
1627790,"Ante Zizic"
1627791,"Ben Bentil"
1627812,"Yogi Ferrell"
1627814,"Damion Lee"
1627815,"Sheldon Mac"
1627816,"Alex Poythress"
1627817,"Tim Quarterman"
1627819,"Isaiah Taylor"
1627820,"Tyrone Wallace"
1627821,"James Webb III"
1627823,"Juancho Hernangomez"
1627824,"Guerschon Yabusele"
1627826,"Ivica Zubac"
1627827,"Dorian Finney-Smith"
1627832,"Fred VanVleet"
1627834,"Georgios Papagiannis"
1627835,"Paul Zipser"
1627846,"Abdel Nader"
1627848,"Shawn Long"
1627849,"Daniel Ochefu"
1627850,"Marshall Plumlee"
1627851,"Mindaugas Kuzminskas"
1627852,"Nicolas Brussino"
1627853,"Ryan Arcidiacono"
1627854,"Bryn Forbes"
1627855,"Okaro White"
1627856,"Matt Costello"
1627858,"Kyle Collinsworth"
1627861,"Mike Tobey"
1627863,"Danuel House Jr."
1627866,"Jameel Warney"
1627868,"Patricio Garino"
1627875,"Marcus Georges-Hunt"
1627879,"Nicolas Laprovittola"
1627883,"Jalen Jones"
1627884,"Derrick Jones Jr."
1627885,"Shaquille Harrison"
1627936,"Alex Caruso"
1627982,"Josh Gray"
1627988,"Myke Henry"
1628021,"David Nwaba"
1628035,"Alfonzo McKinnie"
1628070,"Jordan Loyd"
1628249,"Mitchell Creek"
1628365,"Markelle Fultz"
1628366,"Lonzo Ball"
1628367,"Josh Jackson"
1628368,"DeAaron Fox"
1628369,"Jayson Tatum"
1628370,"Malik Monk"
1628371,"Jonathan Isaac"
1628372,"Dennis Smith Jr."
1628373,"Frank Ntilikina"
1628374,"Lauri Markkanen"
1628378,"Donovan Mitchell"
1628379,"Luke Kennard"
1628380,"Zach Collins"
1628381,"John Collins"
1628382,"Justin Jackson"
1628383,"Justin Patton"
1628384,"OG Anunoby"
1628385,"Harry Giles III"
1628386,"Jarrett Allen"
1628387,"Ike Anigbogu"
1628388,"TJ Leaf"
1628389,"Bam Adebayo"
1628390,"Terrance Ferguson"
1628391,"D.J. Wilson"
1628392,"Isaiah Hartenstein"
1628393,"Jawun Evans"
1628395,"Jordan Bell"
1628396,"Tony Bradley"
1628397,"Ivan Rabb"
1628398,"Kyle Kuzma"
1628399,"Tyler Lydon"
1628400,"Semi Ojeleye"
1628401,"Derrick White"
1628402,"Frank Jackson"
1628403,"Caleb Swanigan"
1628404,"Josh Hart"
1628405,"Johnathan Motley"
1628407,"Dwayne Bacon"
1628408,"PJ Dozier"
1628409,"Alec Peters"
1628410,"Edmond Sumner"
1628411,"Wes Iwundu"
1628412,"Frank Mason"
1628413,"Jonah Bolden"
1628414,"Sindarius Thornwell"
1628415,"Dillon Brooks"
1628416,"Tyler Dorsey"
1628417,"Jaron Blossomgame"
1628418,"Thomas Bryant"
1628420,"Monte Morris"
1628421,"Devin Robinson"
1628422,"Damyean Dotson"
1628424,"Kobi Simmons"
1628425,"Sterling Brown"
1628429,"Charles Cooke"
1628432,"Davon Reed"
1628436,"Luke Kornet"
1628439,"Isaiah Hicks"
1628443,"Kadeem Allen"
1628444,"Jabari Bird"
1628449,"Chris Boucher"
1628451,"Jacob Wiley"
1628454,"Mike Young"
1628455,"Mike James"
1628462,"Milos Teodosic"
1628463,"Tyler Cavanaugh"
1628464,"Daniel Theis"
1628467,"Maxi Kleber"
1628469,"Antonio Blakeney"
1628470,"Torrey Craig"
1628473,"Yakuba Ouattara"
1628475,"Matt Williams Jr."
1628476,"Derrick Walton Jr."
1628492,"Gian Clavell"
1628493,"Mangok Mathiang"
1628495,"Milton Doyle"
1628499,"Antonius Cleveland"
1628500,"Ben Moore"
1628502,"Nigel Hayes"
1628503,"Jamel Artis"
1628504,"Xavier Rathan-Mayes"
1628505,"Troy Caupain"
1628506,"London Perrantes"
1628510,"Andrew White III"
1628513,"Naz Mitrou-Long"
1628515,"Isaiah Briscoe"
1628518,"Amile Jefferson"
1628537,"Jaylen Morris"
1628571,"Erik McCree"
1628605,"Dusty Hannahs"
